Date Time,Address,Latitude,Longitude,Resolved Address,Minimum Temperature,Maximum Temperature,Temperature,Precipitation,Precipitation %,Wind speed,Wind gust,Visibility
03/12/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",31.91,56.93,42.26,0,0,12.32,32.21,8.92
03/13/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",25.07,70.97,49.34,0,0,7.8,0,8.84
03/14/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",33.17,66.83,54.18,0,0,11.17,0,8.75
03/15/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",27.05,72.95,51.88,0.38,16.67,9.01,29.97,6.22
03/16/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",24.17,42.89,35.42,0.06,8.33,13.87,39.15,7.32
03/17/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",20.03,54.95,38.06,0,0,9.76,0,7.5
03/18/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",42.17,64.85,52.66,0,0,14.34,33.33,7.84
03/19/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",30.11,55.85,42.87,0,0,14.05,39.15,6.46
03/20/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",25.07,72.05,49.72,0,0,9.36,0,8.28
03/21/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",42.17,65.93,53.81,0,0,11.37,0,10
03/22/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",29.03,46.85,38.06,0,0,12.96,0,9.66
03/23/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",16.07,43.97,30.09,0.02,8.33,5.32,0,9.66
03/24/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",25.07,37.85,31.92,0.1,20.83,3.67,0,5.94
03/25/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",22.01,43.97,32.06,0.01,8.33,9.72,40.04,9.44
03/26/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",25.07,59.99,42.13,0.08,20.83,16.98,46.08,9.61
03/27/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",39.83,74.93,54.36,0.01,8.33,22.34,43.62,9.83
03/28/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",33.17,50.99,40.69,0,0,4.94,0,9.53
03/29/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",28.13,57.83,43.38,0,0,6.01,0,8.13
03/30/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",41.09,74.93,59.24,0,0,16.42,42.5,8.88
03/31/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",38.03,80.87,64.2,0,0,23.75,42.5,10
04/01/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",26.15,53.87,42.84,0,0,7.22,0,10
04/02/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",44.15,52.97,49.35,1,37.5,9.4,0,9.96
04/03/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",39.83,69.89,53.35,0.06,8.33,12.45,33.33,8.7
04/04/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",29.03,48.11,40.98,0,0,14.52,41.16,10
04/05/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",24.17,59.99,44.2,0,0,6.34,0,9.44
04/06/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",44.15,63.95,52.5,0,0,5.41,0,9.49
04/07/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",40.01,64.85,52.44,0,0,8.1,35.34,8.62
04/08/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",36.05,60.89,49.69,0,0,12.87,38.03,10
